Id	ValueA	ValueB
1	40101	88315
4	64068	64153
5	64068	64153
6	 NA 	78806
7	 NA 	78806
10	 NA 	81509
11	81294	 NA 
12	 NA 	82010
13	 NA 	82010
14	 NA 	88315
15	86828	 NA 
16	81445	88315
17	81445	81509
19	81852	82010
20	 NA 	82010
21	86828	88315
22	86828	 NA 
23	82650	84598
24	 NA 	84598
25	82836	82952
26	 NA 	336449
27	329135	329465
29	 NA 	329981
31	335505	336449
33	 NA 	336468
34	329135	329465
37	 NA 	329812
38	335505	 NA 
39	 NA 	335512
40	 NA 	389148
41	 NA 	354626
42	354597	 NA 
43	356059	 NA 
44	356059	 NA 
45	388480	389148
46	 NA 	388821
47	355887	 NA 
49	 NA 	356223
50	388480	389148
